0.04,1
0.04,0.96
0.04,0.92
0.04,0.92
0.04,0.92
0.04,1
0.04,0.88
0.04,-0.92
0.04,0.92
0.04,0.96
0.04,1
0.04,0.84
0.04,0.96
0.04,0.96
0.04,0.88
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,-0.92
0.04,0.92
0.04,0.96
0.04,1
0.04,0.92
0.04,0.96
0.04,0.88
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,-0.96
0.04,0.92
0.04,0.88
0.04,0.88
0.04,0.92
0.04,-0.96
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.92
0.04,0.96
0.04,0.96
0.04,0.88
0.04,0.96
0.04,0.96
0.04,1
0.04,0.92
0.04,0.92
0.04,0.92
0.04,0.96
0.04,0.84
0.04,0.96
0.04,0.8
0.04,1
0.04,0.88
0.04,1
0.04,0.96
0.04,1
0.04,0.92
0.04,0.88
0.04,1
0.04,0.92
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.92
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.84
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.92
0.04,0.96
0.04,1
0.04,0.84
0.04,0.96
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,0.92
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,0.92
0.04,0.92
0.04,0.8
0.04,0.88
0.04,0.92
0.04,1
0.04,1
0.04,0.92
0.04,0.84
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,0.92
0.04,1
0.04,0.88
0.04,1
0.04,0.88
0.04,1
0.04,1
0.04,0.88
0.04,0.92
0.04,1
0.04,0.96
0.04,0.84
0.04,0.92
0.04,0.92
0.04,0.92
0.04,0.96
0.04,0.92
0.04,1
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,0.92
0.04,1
0.04,1
0.04,1
0.04,0.92
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,0.84
0.04,-1
0.04,0.92
0.04,0.92
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,0.8
0.04,1
0.04,1
0.04,1
0.04,0.84
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,0.96
0.04,1
0.04,0.92
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,0.88
0.04,0.96
0.04,0.84
0.04,1
0.04,0.92
0.04,0.88
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.8
0.04,1
0.04,0.92
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.92
0.04,0.84
0.04,0.92
0.04,0.88
0.04,0.76
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,0.88
0.04,1
0.04,0.8
0.04,0.96
0.04,0.96
0.04,0.92
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,0.92
0.04,0.96
0.04,0.92
0.04,0.88
0.04,0.92
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.84
0.04,0.92
0.04,1
0.04,0.92
0.04,0.96
0.04,0.84
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,1
0.04,0.92
0.04,0.92
0.04,0.96
0.04,0.92
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,0.92
0.04,1
0.04,0.96
0.04,0.96
0.04,0.92
0.04,0.96
0.04,0.88
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,0.88
0.04,0.96
0.04,0.88
0.04,0.88
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,0.92
0.04,1
0.04,1
0.04,1
0.04,0.92
0.04,0.92
0.04,0.96
0.04,-0.96
0.04,0.96
0.04,0.96
0.04,1
0.04,0.8
0.04,1
0.04,0.92
0.04,0.96
0.04,0.92
0.04,0.96
0.04,1
0.04,0.96
0.04,0.96
0.04,0.96
0.04,1
0.04,0.84
0.04,1
0.04,0.96
0.04,1
0.04,0.88
0.04,0.96
0.04,1
0.04,0.84
0.04,0.92
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.92
0.04,1
0.04,0.96
0.04,0.92
0.04,1
0.04,0.96
0.04,0.96
0.04,0.96
0.04,1
0.04,0.92
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,0.92
0.04,0.8
0.04,0.96
0.04,0.96
0.04,1
0.04,0.96
0.04,0.96
0.04,0.92
0.04,0.96
0.04,0.92
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,0.92
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.84
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.92
0.04,0.96
0.04,0.88
0.04,1
0.04,1
0.04,0.92
0.04,1
0.04,0.84
0.04,0.96
0.04,1
0.04,0.96
0.04,0.96
0.04,0.96
0.04,1
0.04,0.92
0.04,1
0.04,1
0.04,1
0.04,0.92
0.04,0.96
0.04,0.92
0.04,0.92
0.04,1
0.04,1
0.04,0.92
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.92
0.04,1
0.04,1
0.04,1
0.04,1
0.04,-1
0.04,1
0.04,0.96
0.04,0.92
0.04,0.92
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.92
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.92
0.04,0.92
0.04,1
0.04,0.96
0.04,1
0.04,1
0.04,0.92
0.04,1
0.04,0.92
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,0.96
0.04,1
0.04,0.92
0.04,0.92
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,0.88
0.04,0.96
0.04,0.96
0.04,0.92
0.04,0.96
0.04,0.92
0.04,0.96
0.04,0.92
0.04,0.92
0.04,1
0.04,0.96
0.04,0.96
0.04,0.92
0.04,-1
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,0.92
0.04,0.92
0.04,0.92
0.04,1
0.04,1
0.04,0.96
0.04,0.92
0.04,0.88
0.04,1
0.04,1
0.04,0.96
0.04,0.88
0.04,1
0.04,0.96
0.04,0.92
0.04,0.88
0.04,0.88
0.04,0.92
0.04,0.96
0.04,0.96
0.04,0.92
0.04,0.92
0.04,0.96
0.04,0.92
0.04,0.96
0.04,0.92
0.04,1
0.04,1
0.04,0.84
0.04,0.96
0.04,1
0.04,0.92
0.04,1
0.04,0.84
0.04,1
0.04,0.96
0.04,0.92
0.04,0.92
0.04,0.96
0.04,1
0.04,1
0.04,0.92
0.04,1
0.04,0.96
0.04,0.92
0.04,0.88
0.04,0.96
0.04,1
0.04,0.92
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,0.96
0.04,0.96
0.04,1
0.04,0.92
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.92
0.04,1
0.04,0.96
0.04,0.92
0.04,0.92
0.04,1
0.04,1
0.04,0.96
0.04,0.92
0.04,1
0.04,1
0.04,1
0.04,0.92
0.04,0.96
0.04,0.96
0.04,1
0.04,0.88
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.92
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.88
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,0.88
0.04,0.92
0.04,0.96
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,0.92
0.04,0.88
0.04,0.92
0.04,1
0.04,0.92
0.04,1
0.04,0.88
0.04,0.96
0.04,1
0.04,0.96
0.04,0.92
0.04,1
0.04,0.84
0.04,0.96
0.04,0.96
0.04,1
0.04,0.96
0.04,0.88
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,0.92
0.04,0.92
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,0.92
0.04,1
0.04,1
0.04,0.92
0.04,1
0.04,0.84
0.04,0.92
0.04,1
0.04,0.96
0.04,0.92
0.04,0.92
0.04,1
0.04,0.96
0.04,1
0.04,0.88
0.04,0.92
0.04,0.92
0.04,1
0.04,1
0.04,1
0.04,0.88
0.04,1
0.04,1
0.04,0.92
0.04,1
0.04,0.92
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,0.92
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.88
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,0.88
0.04,1
0.04,0.88
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,0.92
0.04,0.96
0.04,0.92
0.04,1
0.04,0.96
0.04,1
0.04,0.84
0.04,1
0.04,1
0.04,0.96
0.04,-0.84
0.04,0.96
0.04,0.92
0.04,0.92
0.04,0.92
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,0.92
0.04,1
0.04,0.88
0.04,0.96
0.04,0.96
0.04,1
0.04,0.92
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,0.92
0.04,1
0.04,0.92
0.04,0.88
0.04,0.92
0.04,1
0.04,1
0.04,1
0.04,0.92
0.04,0.8
0.04,1
0.04,0.96
0.04,0.88
0.04,1
0.04,0.92
0.04,0.96
0.04,0.88
0.04,1
0.04,1
0.04,1
0.04,0.88
0.04,0.92
0.04,1
0.04,1
0.04,0.92
0.04,0.96
0.04,0.92
0.04,0.88
0.04,0.96
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,0.88
0.04,0.92
0.04,0.92
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,0.92
0.04,0.96
0.04,0.96
0.04,1
0.04,0.92
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,0.88
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.92
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,0.88
0.04,0.96
0.04,0.92
0.04,1
0.04,1
0.04,1
0.04,0.92
0.04,1
0.04,0.88
0.04,1
0.04,0.8
0.04,1
0.04,1
0.04,0.96
0.04,0.92
0.04,0.92
0.04,0.96
0.04,1
0.04,0.96
0.04,0.92
0.04,0.96
0.04,0.92
0.04,0.92
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,0.92
0.04,0.96
0.04,1
0.04,0.96
0.04,-0.96
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,0.96
0.04,1
0.04,0.96
0.04,0.92
0.04,1
0.04,0.88
0.04,0.92
0.04,0.88
0.04,0.96
0.04,0.92
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,0.92
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,0.92
0.04,1
0.04,1
0.04,0.88
0.04,0.92
0.04,0.92
0.04,1
0.04,0.88
0.04,1
0.04,0.84
0.04,0.84
0.04,0.92
0.04,0.96
0.04,0.92
0.04,0.92
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,0.92
0.04,1
0.04,0.92
0.04,0.96
0.04,0.96
0.04,-1
0.04,0.96
0.04,0.96
0.04,1
0.04,0.88
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,0.88
0.04,0.84
0.04,1
0.04,0.88
0.04,1
0.04,0.96
0.04,1
0.04,0.92
0.04,0.96
0.04,1
0.04,0.92
0.04,0.96
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,0.8
0.04,0.92
0.04,1
0.04,1
0.04,1
0.04,-1
0.04,1
0.04,0.92
0.04,-1
0.04,0.96
0.04,0.96
0.04,1
0.04,0.96
0.04,0.92
0.04,0.96
0.04,0.88
0.04,0.96
0.04,0.92
0.04,0.96
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,0.88
0.04,0.84
0.04,0.88
0.04,0.92
0.04,1
0.04,0.92
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.92
0.04,1
0.04,0.96
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,0.88
0.04,0.92
0.04,0.96
0.04,0.88
0.04,0.84
0.04,0.96
0.04,0.84
0.04,0.88
0.04,1
0.04,0.96
0.04,0.92
0.04,0.96
0.04,0.96
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,0.88
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.92
0.04,1
0.04,1
0.04,0.92
0.04,0.92
0.04,0.96
0.04,0.84
0.04,0.8
0.04,0.96
0.04,0.92
0.04,1
0.04,0.92
0.04,0.96
0.04,1
0.04,0.96
0.04,0.96
0.04,0.92
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.92
0.04,1
0.04,0.88
0.04,0.92
0.04,0.84
0.04,0.84
0.04,0.88
0.04,1
0.04,1
0.04,0.96
0.04,0.92
0.04,0.92
0.04,0.96
0.04,0.96
0.04,1
0.04,0.92
0.04,1
0.04,0.96
0.04,1
0.04,-0.92
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.84
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,0.88
0.04,1
0.04,0.96
0.04,0.92
0.04,0.88
0.04,0.96
0.04,1
0.04,0.88
0.04,0.92
0.04,0.96
0.04,0.92
0.04,1
0.04,0.96
0.04,1
0.04,0.92
0.04,0.88
0.04,0.96
0.04,0.88
0.04,0.84
0.04,1
0.04,1
0.04,-0.88
0.04,0.96
0.04,0.92
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,0.92
0.04,0.88
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,0.92
0.04,1
0.04,0.96
0.04,0.96
0.04,-0.96
0.04,0.92
0.04,0.96
0.04,0.88
0.04,0.92
0.04,0.92
0.04,0.96
0.04,0.96
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.92
0.04,0.92
0.04,0.96
0.04,0.84
0.04,1
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.96
0.04,1
0.04,0.92
0.04,0.96
0.04,0.92
0.04,0.96
0.04,0.96
0.04,0.92
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,-1
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,0.92
0.04,0.92
0.04,0.92
0.04,0.88
0.04,1
0.04,0.88
0.04,0.96
0.04,0.92
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,0.96
0.04,0.92
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,0.96
0.04,0.92
0.04,0.96
0.04,0.96
0.04,1
0.04,0.96
0.04,0.84
0.04,0.88
0.04,0.96
0.04,1
0.04,0.96
0.04,0.92
0.04,0.96
0.04,1
0.04,1
0.04,0.92
0.04,0.92
0.04,1
0.04,1
0.04,0.96
0.04,0.92
0.04,1
0.04,0.96
0.04,1
0.04,0.92
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,1
0.04,0.92
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,-1
0.04,0.92
0.04,0.96
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,0.88
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,0.88
0.04,1
0.04,-1
0.04,0.96
0.04,-0.88
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,0.92
0.04,1
0.04,0.92
0.04,0.88
0.04,0.92
0.04,0.96
0.04,0.96
0.04,1
0.04,0.92
0.04,1
0.04,1
0.04,1
0.04,0.88
0.04,1
0.04,0.96
0.04,0.88
0.04,1
0.04,0.96
0.04,0.88
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,0.88
0.04,0.96
0.04,0.92
0.04,1
0.04,0.92
0.04,0.96
0.04,1
0.04,-0.96
0.04,1
0.04,1
0.04,0.88
0.04,1
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,0.92
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,0.92
0.04,1
0.04,1
0.04,1
0.04,0.88
0.04,0.96
0.04,0.96
0.04,0.88
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,0.92
0.04,0.88
0.04,0.88
0.04,1
0.04,0.92
0.04,0.92
0.04,0.96
0.04,0.92
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,0.92
0.04,1
0.04,0.92
0.04,0.96
0.04,0.92
0.04,1
0.04,-0.92
0.04,1
0.04,0.88
0.04,1
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,0.92
0.04,0.92
0.04,0.88
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,0.92
0.04,0.84
0.04,0.92
0.04,0.88
0.04,0.96
0.04,0.96
0.04,0.92
0.04,0.96
0.04,0.84
0.04,0.96
0.04,0.88
0.04,1
0.04,0.92
0.04,1
0.04,1
0.04,0.92
0.04,0.92
0.04,0.96
0.04,1
0.04,1
0.04,0.8
0.04,-0.96
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.92
0.04,1
0.04,0.88
0.04,0.96
0.04,0.88
0.04,0.88
0.04,0.88
0.04,0.96
0.04,0.92
0.04,0.96
0.04,-0.88
0.04,0.96
0.04,0.92
0.04,1
0.04,1
0.04,0.88
0.04,0.96
0.04,0.92
0.04,0.92
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,0.92
0.04,0.96
0.04,0.92
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,0.92
0.04,0.96
0.04,1
0.04,0.96
0.04,0.88
0.04,0.84
0.04,0.96
0.04,0.92
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,0.92
0.04,1
0.04,1
0.04,-0.92
0.04,0.92
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.96
0.04,1
0.04,0.88
0.04,0.96
0.04,-0.96
0.04,0.96
0.04,0.92
0.04,1
0.04,0.84
0.04,0.92
0.04,1
0.04,0.96
0.04,0.96
0.04,0.92
0.04,1
0.04,0.92
0.04,1
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.88
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,0.88
0.04,-1
0.04,1
0.04,1
0.04,0.92
0.04,0.88
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,1
0.04,0.92
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,0.92
0.04,0.92
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,0.96
0.04,-1
0.04,0.92
0.04,0.92
0.04,1
0.04,0.88
0.04,0.88
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,0.92
0.04,0.96
0.04,1
0.04,0.92
0.04,1
0.04,0.92
0.04,0.92
0.04,1
0.04,0.96
0.04,-0.96
0.04,0.96
0.04,0.96
0.04,0.88
0.04,0.96
0.04,0.84
0.04,1
0.04,0.92
0.04,0.84
0.04,0.92
0.04,1
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.92
0.04,0.96
0.04,0.88
0.04,1
0.04,0.88
0.04,0.92
0.04,1
0.04,0.96
0.04,0.96
0.04,0.88
0.04,0.92
0.04,0.96
0.04,0.96
0.04,-0.96
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,0.84
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,0.92
0.04,1
0.04,0.92
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,0.88
0.04,-1
0.04,0.92
0.04,0.84
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,0.96
0.04,0.92
0.04,0.92
0.04,0.96
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,0.84
0.04,1
0.04,0.96
0.04,0.92
0.04,1
0.04,0.96
0.04,0.92
0.04,0.96
0.04,1
0.04,0.8
0.04,0.96
0.04,1
0.04,1
0.04,0.92
0.04,0.92
0.04,0.92
0.04,1
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.92
0.04,0.96
0.04,1
0.04,0.88
0.04,0.96
0.04,0.96
0.04,1
0.04,0.96
0.04,0.96
0.04,-1
0.04,1
0.04,0.96
0.04,0.92
0.04,1
0.04,0.92
0.04,1
0.04,0.92
0.04,0.88
0.04,0.92
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,0.92
0.04,0.84
0.04,0.96
0.04,0.96
0.04,0.92
0.04,1
0.04,0.8
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,1
0.04,0.92
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,0.88
0.04,0.96
0.04,0.96
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,0.96
0.04,0.96
0.04,0.96
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,0.92
0.04,0.96
0.04,0.84
0.04,-1
0.04,0.88
0.04,0.96
0.04,1
0.04,0.84
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.92
0.04,1
0.04,0.92
0.04,-0.88
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,0.92
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,0.92
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,0.92
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,0.88
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,0.92
0.04,1
0.04,0.84
0.04,0.96
0.04,0.96
0.04,0.92
0.04,1
0.04,0.96
0.04,0.96
0.04,0.88
0.04,0.92
0.04,1
0.04,-0.96
0.04,0.96
0.04,0.92
0.04,1
0.04,0.88
0.04,0.96
0.04,0.96
0.04,0.96
0.04,0.88
0.04,0.96
0.04,0.96
0.04,0.8
0.04,0.96
0.04,0.92
0.04,0.92
0.04,0.92
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,0.88
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,0.92
0.04,1
0.04,0.96
0.04,0.96
0.04,0.92
0.04,0.88
0.04,0.92
0.04,1
0.04,0.88
0.04,0.96
0.04,1
0.04,-0.84
0.04,1
0.04,1
0.04,0.92
0.04,1
0.04,1
0.04,0.96
0.04,0.88
0.04,1
0.04,0.92
0.04,0.96
0.04,1
0.04,0.96
0.04,0.92
0.04,1
0.04,0.92
0.04,0.88
0.04,0.92
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,0.92
0.04,0.92
0.04,0.92
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,0.96
0.04,0.96
0.04,0.92
0.04,1
0.04,0.96
0.04,0.96
0.04,1
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,1
0.04,1
0.04,1
0.04,0.96
0.04,-1
0.04,0.96
0.04,0.96
0.04,1
0.04,0.96
0.04,0.92
0.04,0.84
0.04,1
0.04,0.96
0.04,1
0.04,1
0.04,0.96
0.04,0.92
0.04,0.92
0.04,1
0.04,1
0.04,0.92
0.04,0.88
0.04,1
0.04,0.96
0.04,-0.96
0.04,1
0.04,0.96
0.04,0.92
0.04,0.96
0.04,0.96
0.04,0.96
0.04,1
0.04,1
0.04,0.84
0.04,1
0.04,1
0.04,1
0.04,0.88
0.04,1
0.04,0.96
0.04,0.92
0.04,0.96
0.04,0.88
